time,Ticker,Exchange,Side,Share,AvePrice
20181107  09:50:42,TSLA,ISLAND,BOT,100,343.15
20181107  09:50:43,TSLA,ISLAND,BOT,200,343.15
20181107  09:50:43,GOOGL,ISLAND,BOT,100,1068.99
20181107  09:50:43,GOOGL,ISLAND,BOT,100,1068.99
20181107  09:50:43,AAPL,ISLAND,SLD,100,203.8
20181107  09:50:43,AAPL,ISLAND,SLD,200,203.8
20181107  09:51:25,AAPL,ISLAND,SLD,300,203.8
20181107  09:51:25,TSLA,ISLAND,BOT,300,343.15
20181107  09:51:25,GOOGL,ISLAND,BOT,200,1068.99
20181107  10:17:22,AAPL,ISLAND,SLD,100,203.8
20181107  10:17:22,AAPL,ISLAND,SLD,200,203.8
20181107  10:17:22,TSLA,ISLAND,BOT,100,343.15
20181107  10:17:22,TSLA,ISLAND,BOT,200,343.15
20181107  10:17:22,GOOGL,ISLAND,BOT,100,1068.99
20181107  10:17:22,GOOGL,ISLAND,BOT,100,1068.99
20181107  10:17:45,AAPL,ISLAND,SLD,300,203.8
20181107  10:17:45,TSLA,ISLAND,BOT,300,343.15
20181107  10:17:45,GOOGL,ISLAND,BOT,200,1068.99
20181107  10:19:49,AAPL,ISLAND,SLD,100,203.8
20181107  10:19:49,AAPL,ISLAND,SLD,200,203.8
20181107  10:19:49,TSLA,ISLAND,BOT,100,343.15
20181107  10:19:49,TSLA,ISLAND,BOT,200,343.15
20181107  10:19:49,GOOGL,ISLAND,BOT,100,1068.99
20181107  10:19:49,GOOGL,ISLAND,BOT,100,1068.99
20181107  10:19:57,AAPL,ISLAND,SLD,300,203.8
20181107  10:19:57,TSLA,ISLAND,BOT,300,343.15
20181107  10:19:57,GOOGL,ISLAND,BOT,200,1068.99
20181107  10:59:39,AAPL,ISLAND,SLD,100,203.8
20181107  10:59:39,AAPL,ISLAND,SLD,200,203.8
20181107  10:59:39,TSLA,ISLAND,BOT,100,343.15
20181107  10:59:39,TSLA,ISLAND,BOT,200,343.15
20181107  10:59:39,GOOGL,ISLAND,BOT,100,1068.99
20181107  10:59:39,GOOGL,ISLAND,BOT,100,1068.99
20181107  10:59:54,AAPL,ISLAND,SLD,300,203.8
20181107  10:59:54,TSLA,ISLAND,BOT,300,343.15
